Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,Closing Date,Closing Year,CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,QBFASSET,RESTYPE,RESTYPE1,SAVR
Heartland Tri-State Bank,Elkhart,KS,25851,"Dream First Bank, N.A.",28-Jul-23,10544,7/28/2023,2023,25851,SM,"ELKHART, KS",54167,7/28/2023,10544,4108,HEARTLAND TRI-STATE BANK,139446,FAILURE,PA,DIF
First Republic Bank,San Francisco,CA,59017,"JPMorgan Chase Bank, N.A.",1-May-23,10543,5/1/2023,2023,59017,NM,"SAN FRANCISCO, CA",16521935,5/1/2023,10543,4107,FIRST REPUBLIC BANK,212638872,FAILURE,PA,DIF
Signature Bank,New York,NY,57053,"Flagstar Bank, N.A.",12-Mar-23,10540,3/12/2023,2023,57053,NM,"NEW YORK, NY",884248,3/12/2023,10540,4106,SIGNATURE BANK,110363650,FAILURE,PA,DIF
Silicon Valley Bank,Santa Clara,CA,24735,FirstCitizens Bank & Trust Company,10-Mar-23,10539,3/10/2023,2023,24735,SM,"SANTA CLARA, CA",17820026,3/7/2023,10539,4105,SILICON VALLEY BANK,209026000,FAILURE,PA,DIF
Almena State Bank,Almena,KS,15426,Equity Bank,23-Oct-20,10538,10/23/2020,2020,15426,NM,"ALMENA, KS",16108,10/23/2020,10538,4104,ALMENA STATE BANK,65733,FAILURE,PA,DIF
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",16-Oct-20,10537,10/16/2020,2020,16748,NM,"FORT WALTON BEACH, FL",7247,10/16/2020,10537,4103,FIRST CITY BANK OF FLORIDA,136566,FAILURE,PA,DIF
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",3-Apr-20,10536,4/3/2020,2020,14361,NM,"BARBOURSVILLE, WV",44117,4/3/2020,10536,4102,THE FIRST STATE BANK,151808,FAILURE,PA,DIF
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,14-Feb-20,10535,2/14/2020,2020,18265,NM,"ERICSON, NE",23991,2/14/2020,10535,4101,ERICSON STATE BANK,100879,FAILURE,PA,DIF
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,1-Nov-19,10534,11/1/2019,2019,21111,N,"NEWARK, NJ",1362,11/1/2019,10534,4100,CITY NATIONAL BANK OF NEW JERSEY,120574,FAILURE,PA,DIF
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,25-Oct-19,10533,10/25/2019,2019,58317,SB,"MAUMEE, OH",1571,10/25/2019,10533,4099,RESOLUTE BANK,23292,FAILURE,PA,DIF
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,25-Oct-19,10532,10/25/2019,2019,58112,NM,"LOUISA, KY",4264,10/25/2019,10532,4098,LOUISA COMMUNITY BANK,28163,FAILURE,PA,DIF
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",31-May-19,10531,5/31/2019,2019,10716,NM,"COOPER, TX",18263,5/31/2019,10531,4097,ENLOE STATE BANK,36738,FAILURE,PI,DIF
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,15-Dec-17,10530,12/15/2017,2017,30570,SB,"CHICAGO, IL",76007,12/15/2017,10530,4096,WASHINGTON FEDERAL BANK FOR SAVINGS,166345,FAILURE,PI,DIF
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,13-Oct-17,10529,10/13/2017,2017,17719,NM,"ARGONIA, KS",280,10/13/2017,10529,4095,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,33012,FAILURE,PA,DIF
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",26-May-17,10528,5/26/2017,2017,1802,SM,"SAINT ELMO, IL",8088,5/26/2017,10528,4094,FAYETTE COUNTY BANK,34370,FAILURE,PA,DIF
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,5-May-17,10527,5/5/2017,2017,30003,SB,"MILWAUKEE, WI",131962,5/5/2017,10527,4093,GUARANTY BANK,1031900,FAILURE,PA,DIF
First NBC Bank,New Orleans,LA,58302,Whitney Bank,28-Apr-17,10526,4/28/2017,2017,58302,NM,"NEW ORLEANS, LA",787825,4/28/2017,10526,4092,FIRST NBC BANK,3325870,FAILURE,PA,DIF
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,3-Mar-17,10525,3/3/2017,2017,35495,NM,"COTTONWOOD HEIGHTS, UT",9911,3/3/2017,10525,4091,PROFICIO BANK,68208,FAILURE,PA,DIF
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,27-Jan-17,10524,1/27/2017,2017,19328,NM,"CHICAGO, IL",43851,1/27/2017,10524,4090,SEAWAY BANK AND TRUST COMPANY,297809,FAILURE,PA,DIF
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,13-Jan-17,10523,1/13/2017,2017,34951,NM,"PENNSVILLE, NJ",22158,1/13/2017,10523,4089,HARVEST COMMUNITY BANK,124223,FAILURE,PA,DIF
Allied Bank,Mulberry,AR,91,Today's Bank,23-Sep-16,10522,9/23/2016,2016,91,SM,"MULBERRY, AR",6213,9/23/2016,10522,4088,ALLIED BANK,66336,FAILURE,PA,DIF
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,19-Aug-16,10521,8/19/2016,2016,11297,NM,"WOODBURY, GA",3290,8/19/2016,10521,4087,THE WOODBURY BANKING COMPANY,21426,FAILURE,PA,DIF
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,6-May-16,10520,5/6/2016,2016,35312,NM,"KING OF PRUSSIA, PA",10825,5/6/2016,10520,4086,FIRST CORNERSTONE BANK,103307,FAILURE,PA,DIF
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,29-Apr-16,10519,4/29/2016,2016,9956,NM,"MEMPHIS, TN",10372,4/29/2016,10519,4085,TRUST COMPANY BANK,18998,FAILURE,PA,DIF
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,11-Mar-16,10518,3/11/2016,2016,20364,NM,"MILWAUKEE, WI",11773,3/11/2016,10518,4084,NORTH MILWAUKEE STATE BANK,67115,FAILURE,PA,DIF
Hometown National Bank,Longview,WA,35156,Twin City Bank,2-Oct-15,10517,10/2/2015,2015,35156,N,"LONGVIEW, WA",995,10/2/2015,10517,4082,HOMETOWN NATIONAL BANK,3785,FAILURE,PA,DIF
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2-Oct-15,10516,10/2/2015,2015,35259,NM,"PEACHTREE CITY, GA",27760,10/2/2015,10516,4083,THE BANK OF GEORGIA,286102,FAILURE,PA,DIF
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",10-Jul-15,10515,7/10/2015,2015,34112,SM,"DENVER, CO",1210,7/10/2015,10515,4081,PREMIER BANK,26760,FAILURE,PA,DIF
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,8-May-15,10514,5/8/2015,2015,57772,NM,"CHICAGO, IL",20647,5/8/2015,10514,4080,EDGEBROOK BANK,90034,FAILURE,PA,DIF
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,27-Feb-15,10513,2/27/2015,2015,32102,NM,"SAN JUAN, PR",700340,2/27/2015,10513,4079,DORAL BANK,5898515,FAILURE,PA,DIF
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,13-Feb-15,10512,2/13/2015,2015,33938,NM,"ATLANTA, GA",95942,2/13/2015,10512,4078,CAPITOL CITY BANK & TRUST COMPANY,272311,FAILURE,PA,DIF
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",23-Jan-15,10511,1/23/2015,2015,20290,NM,"CHICAGO, IL",4743,1/23/2015,10511,4077,HIGHLAND COMMUNITY BANK,54727,FAILURE,PA,DIF
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,16-Jan-15,10510,1/16/2015,2015,17557,N,"CRESTVIEW, FL",6329,1/16/2015,10510,4076,FIRST NATIONAL BANK OF CRESTVIEW,73804,FAILURE,PA,DIF
Northern Star Bank,Mankato,MN,34983,BankVista,19-Dec-14,10509,12/19/2014,2014,34983,NM,"MANKATO, MN",3946,12/19/2014,10509,4075,NORTHERN STAR BANK,18794,FAILURE,PA,DIF
